	Unnamed: 0	Neighborhood	URL	Title	Latitude	Longitude
117	117	Rouge	/wiki/Rouge,_Toronto	Rouge, Toronto	43.8049304	-79.1658374
118	118	The Elms	/wiki/The_Elms,_Toronto	The Elms, Toronto	43.696997499999995	-79.52188340000001
119	119	Humber Valley Village	/wiki/Humber_Valley_Village	Humber Valley Village, Toronto	43.6664717	-79.5243136
120	120	The Kingsway	/wiki/The_Kingsway	The Kingsway, Toronto	43.6473811	-79.51133279999999
121	121	Markland Wood	/wiki/Markland_Wood	Markland Wood, Toronto	43.63123795	-79.5854368166265
122	122	Princess Gardens	/wiki/Princess_Gardens	Princess Gardens, Toronto	43.6404664	-79.39122370000001
123	123	The Queensway – Humber Bay	/wiki/The_Queensway_%E2%80%93_Humber_Bay	The Queensway – Humber Bay, Toronto	43.6262816	-79.502751
124	124	Weston	/wiki/Weston,_Toronto	Weston, Toronto	43.70016079999999	-79.5162474
125	125	Leaside	/wiki/Leaside	Leaside, Toronto	43.70479829999999	-79.36809040000001
126	126	Pape Village	/wiki/Pape_Village	Pape Village, Toronto	43.6893775	-79.3488243
127	127	St. Lawrence	/wiki/St._Lawrence,_Toronto	St. Lawrence, Toronto	43.649421999999994	-79.37142779999999
128	128	South Core	/wiki/South_Core,_Toronto	South Core, Toronto	43.6421064	-79.3774455
129	129	Trefann Court	/wiki/Trefann_Court	Trefann Court, Toronto	43.6564893	-79.3628297
130	130	Armour Heights	/wiki/Armour_Heights	Armour Heights, Toronto	43.7439436	-79.43085119999999
131	131	Graydon Hall	/wiki/Graydon_Hall	Graydon Hall, Toronto	43.76286279999999	-79.3426665794745
132	132	York University Heights	/wiki/York_University_Heights	York University Heights, Toronto	43.7587808	-79.51943359999999
133	133	Bendale	/wiki/Bendale	Bendale, Toronto	43.7535196	-79.2553355
134	134	Clairlea	/wiki/Clairlea	Clairlea, Toronto	43.708823100000004	-79.2959856
135	135	Golden Mile	/wiki/Golden_Mile,_Toronto	Golden Mile, Toronto	43.727841399999996	-79.2876217
136	136	Ionview	/wiki/Ionview	Ionview, Toronto	43.7359904	-79.2765146
137	137	Oakridge	/wiki/Oakridge,_Toronto	Oakridge, Toronto	43.697173799999995	-79.27482320000001
138	138	Scarborough City Centre	/wiki/Scarborough_City_Centre	Scarborough City Centre, Toronto	43.773077	-79.257774
139	139	Tam O'Shanter – Sullivan	/wiki/Tam_O%27Shanter_%E2%80%93_Sullivan	Tam O'Shanter – Sullivan, Toronto	43.7689975	-79.3018488191115
140	140	Woburn	/wiki/Woburn,_Toronto	Woburn, Toronto	43.7598243	-79.2252908
141	141	Islington–City Centre West	/wiki/Islington%E2%80%93City_Centre_West	Islington–City Centre West, Toronto	43.648795299999996	-79.5490002
142	142	Long Branch	/wiki/Long_Branch,_Toronto	Long Branch, Toronto	43.5930751	-79.541212
143	143	Mimico	/wiki/Mimico	Mimico, Toronto	43.6036604	-79.4932037
144	144	New Toronto	/wiki/New_Toronto	New Toronto, Toronto	43.6007625	-79.505264
145	145	Rexdale	/wiki/Rexdale	Rexdale, Toronto	43.7213619	-79.5655129
146	146	Richview	/wiki/Richview,_Toronto	Richview, Toronto	43.6886113	-79.54283120000001
147	147	Silverthorn	/wiki/Silverthorn,_Toronto	Silverthorn, Toronto	43.682123	-79.4715724
148	148	High Park North	/wiki/High_Park_North	High Park North, Toronto	43.6547092	-79.4600712
149	149	Koreatown	/wiki/Koreatown,_Toronto	Koreatown, Toronto	43.663556400000004	-79.4184157
150	150	Lytton Park	/wiki/Lytton_Park	Lytton Park, Toronto	43.715998600000006	-79.412291
151	151	Midtown	/wiki/Midtown,_Toronto	Midtown, Toronto	43.705199900000004	-79.39741552147329
152	152	Niagara	/wiki/Niagara,_Toronto	Niagara, Toronto	43.6434701	-79.4082484
153	153	Regent Park	/wiki/Regent_Park	Regent Park, Toronto	43.66070560000001	-79.3604569
154	154	Roncesvalles	/wiki/Roncesvalles,_Toronto	Roncesvalles, Toronto	43.6514426	-79.45103809999999
155	155	Rosedale	/wiki/Rosedale,_Toronto	Rosedale, Toronto	43.6783556	-79.3807457
156	156	Runnymede	/wiki/Runnymede,_Toronto	Runnymede, Toronto	43.6655802	-79.4821078
157	157	Seaton Village	/wiki/Seaton_Village	Seaton Village, Toronto	43.6692756	-79.4159596
158	158	Toronto Islands	/wiki/Toronto_Islands	Toronto Islands, Toronto	43.616196200000005	-79.36935820000001
159	159	Yonge–Eglinton	/wiki/Yonge%E2%80%93Eglinton	Yonge–Eglinton, Toronto	43.706747899999996	-79.39832709999999
160	160	Bathurst Manor	/wiki/Bathurst_Manor	Bathurst Manor, Toronto	43.76389295	-79.4563669371095
161	161	Clanton Park	/wiki/Clanton_Park,_Toronto	Clanton Park, Toronto	43.7431757	-79.45172609999999
162	162	Downsview	/wiki/Downsview	Downsview, Toronto	43.7492988	-79.462248
163	163	Humber Summit	/wiki/Humber_Summit	Humber Summit, Toronto	43.7600778	-79.5717598
164	164	Maple Leaf	/wiki/Maple_Leaf,_Toronto	Maple Leaf, Toronto	43.712276700000004	-79.49019770000001
165	165	North York City Centre	/wiki/North_York_City_Centre	North York City Centre, Toronto	43.7708175	-79.4132998
166	166	Willowdale	/wiki/Willowdale,_Toronto	Willowdale, Toronto	43.77535579999999	-79.4166859823926
167	167	Agincourt	/wiki/Agincourt,_Toronto	Agincourt, Toronto	43.7853531	-79.2785494
168	168	Birch Cliff	/wiki/Birch_Cliff	Birch Cliff, Toronto	43.70211215	-79.26009053015679
169	169	Brown's Corners	/wiki/Brown%27s_Corners,_Toronto	Brown's Corners, Toronto	43.812988700000005	-79.24302209999999
170	170	Cliffcrest	/wiki/Cliffcrest	Cliffcrest, Toronto	43.7219387	-79.2362324
171	171	Cliffside	/wiki/Cliffside,_Toronto	Cliffside, Toronto	43.711169899999994	-79.2481769
172	172	Dorset Park	/wiki/Dorset_Park	Dorset Park, Toronto	43.7528467	-79.282067
173	173	Malvern	/wiki/Malvern,_Toronto	Malvern, Toronto	43.8091955	-79.2217008
174	174	Milliken	/wiki/Milliken,_Ontario	Milliken, Ontario, Toronto	43.823217299999996	-79.3015232
