	PostalCode	Borough	Neighborhood	URL	Title	Latitude	Longitude
18	M9B	Etobicoke	Princess Gardens	/wiki/Princess_Gardens	Princess Gardens, Toronto, Ontario	43.77174840243864	-79.39734723170909
19	M9B	Etobicoke	West Deane Park	/wiki/West_Deane_Park	West Deane Park, Toronto, Ontario	43.65297000000004	-79.55741999999998
20	M1C	Scarborough	Highland Creek	/wiki/Highland_Creek_(Toronto)	Highland Creek, Toronto, Ontario	43.78948000000002	-79.17613999999998
21	M1C	Scarborough	Rouge Hill	/wiki/Rouge_Hill	Rouge Hill, Toronto, Ontario	43.78716000000003	-79.13251999999993
22	M1C	Scarborough	Port Union	/wiki/Port_Union,_Toronto	Port Union, Toronto, Ontario	43.778970000000065	-79.13108999999997
23	M3C	North York	Flemingdon Park	/wiki/Flemingdon_Park	Flemingdon Park, Toronto, Ontario	43.71631000000008	-79.33170999999999
24	M3C	North York	Don Mills South	/wiki/North_York	North York, Toronto, Ontario	43.69933894721208	-79.3377225
25	M4C	East York	Woodbine Heights	/wiki/Woodbine_Heights	Woodbine Heights, Toronto, Ontario	43.68752000000007	-79.32058999999998
26	M5C	Downtown Toronto	St. James Town	/wiki/St._James_Town	St. James Town, Toronto, Ontario	43.670810000000074	-79.37347999999997
27	M6C	York	Humewood-Cedarvale	/wiki/Humewood-Cedarvale	Humewood-Cedarvale, Toronto, Ontario	43.68942000000004	-79.42697999999996
28	M9C	Etobicoke	Bloordale Gardens	/wiki/Etobicoke	Etobicoke, Toronto, Ontario	43.63250000000005	-79.57038999999997
29	M9C	Etobicoke	Eringate	/wiki/Etobicoke	Etobicoke, Toronto, Ontario	43.66168860147452	-79.57826308322319
30	M9C	Etobicoke	Markland Wood	/wiki/Markland_Wood	Markland Wood, Toronto, Ontario	43.633910000000064	-79.56947999999993
31	M9C	Etobicoke	Old Burnhamthorpe	/wiki/Etobicoke	Etobicoke, Toronto, Ontario	43.64349362020268	-79.57990269254545
